time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-09-07 11:30:00,SZ399850,深证50,9213.859,1.14,14835015680.0,0,1,-1,2,141025645277.13,1.06,0.64,0.92,1.0326,17,33,34.0,100872843008.0,97692015104.0,94882042060.8,,0.56,18.0,3
2026-09-07 11:30:00,SH000699,科创200,1499.397,2.22,5532712384.0,0,1,-1,-1,45697796588.14,0.89,0.63,0.8,0.9578,0,0,0.0,32438696768.0,33868131424.0,36281138630.4,,1.71,0.0,0
2026-09-07 11:30:00,SZ399330,深证100,5884.379,1.16,21937738240.0,0,1,-1,2,202573365366.28,1.04,0.63,0.9,1.0532,1866,978,65.61,144516267264.0,137220087424.0,138865694438.4,,0.62,17.0,3
2026-09-07 11:30:00,SZ399005,中小100,8434.145,1.12,10958396672.0,0,1,-1,-1,107245641879.69,1.0,0.57,0.86,1.0125,0,0,0.0,76245805824.0,75303217792.0,76409889510.4,,0.53,4.0,0
2026-09-07 11:30:00,SH000905,中证500,7723.907,0.93,29085973248.0,-2,-2,-1,-1,269646822755.45,0.9,0.54,0.78,0.9107,203,281,41.94,192530055936.0,211408302592.0,213513876582.4,,0.43,-6.0,-5
2026-09-07 11:30:00,SH000852,中证1000,7608.09,1.33,34555534848.0,0,-2,-1,1,316148958304.54,0.87,0.54,0.76,0.8426,570,393,59.19,235350534144.0,279321860608.0,269711067801.6,,0.78,-4.0,-1
2026-09-07 11:30:00,SZ399303,国证2000,9977.262,1.26,50496296448.0,0,-2,1,1,456747108028.26,0.87,0.54,0.76,0.8285,0,0,0.0,341035161088.0,411637139456.0,392827591884.8,,0.73,-7.0,-1
2026-09-07 11:30:00,SH000698,科创100,1831.992,2.31,6307999232.0,0,1,-1,-1,58391391451.44,1.03,0.62,0.89,0.9789,57,41,58.16,41385159168.0,42277886400.0,40320948345.6,,1.73,6.0,0
2026-09-07 11:30:00,SH000688,科创50,1596.143,1.19,7243245632.0,-2,-2,-1,-1,73108977372.01,1.2,0.65,1.02,1.2275,399,211,65.41,49548745664.0,40364276096.0,41414694643.2,,0.45,-13.0,-5
2026-09-07 11:30:00,SZ399019,创业200,4390.784,1.45,7779711616.0,0,-2,-1,1,70992897257.28,0.91,0.56,0.79,0.8061,0,0,0.0,52279099648.0,64853824128.0,57655715737.6,,0.84,-2.0,-1
2026-09-07 11:30:00,SZ399673,创业50,3517.888,2.56,15094452608.0,0,1,-1,2,141741488136.2,1.11,0.66,0.96,1.1383,0,0,0.0,102382549888.0,89942027840.0,92169778214.4,,1.92,37.0,3
2026-09-07 10:30:00,SZ399303,国证2000,9965.605,1.14,290538864640.0,0,-2,-1,1,584778824148.84,0.97,0.97,0.97,0.9171,0,0,0.0,290538864640.0,316798947328.0,300054397337.6,,-0.43,-13.0,-1
2026-09-07 10:30:00,SZ399019,创业200,4390.949,1.46,44499388032.0,0,-2,-1,1,91354991869.86,1.02,1.02,1.02,0.8717,0,0,0.0,44499388032.0,51046520704.0,43827370393.6,,-0.38,-8.0,-1
2026-09-07 10:30:00,SH000699,科创200,1498.88,2.19,26905984384.0,0,-2,-1,-1,55492615066.59,0.98,0.98,0.98,1.0489,0,0,0.0,26905984384.0,25652222784.0,27531268966.4,,0.19,-12.0,-3
2026-09-07 10:30:00,SH000688,科创50,1598.206,1.32,42305500032.0,-2,-2,-1,-1,99720673696.4,1.4,1.4,1.4,1.5007,392,211,65.01,42305500032.0,28189708672.0,30292445081.6,,-0.11,-22.0,-5
2026-09-07 10:30:00,SZ399673,创业50,3513.694,2.44,87288097280.0,0,1,-1,-1,186520625770.73,1.26,1.26,1.26,1.2296,0,0,0.0,87288097280.0,70986950656.0,69162379648.0,,1.19,24.0,0
2026-09-07 10:30:00,SZ399850,深证50,9208.789,1.09,86037827328.0,0,1,-1,-1,184591674324.12,1.2,1.2,1.2,1.1547,19,30,38.78,86037827328.0,74508743424.0,71525723084.8,,0.27,12.0,0
2026-09-07 10:30:00,SH000698,科创100,1830.838,2.24,35077159936.0,0,-2,-1,-1,76202828565.7,1.16,1.16,1.16,1.1237,58,40,59.18,35077159936.0,31217076224.0,30143727052.8,,0.42,-8.0,-3
2026-09-07 10:30:00,SH000852,中证1000,7601.852,1.25,200794999296.0,0,-2,-1,1,408284274688.82,0.98,0.98,0.98,0.9343,562,397,58.6,200794999296.0,214907212800.0,205303758950.4,,-0.28,-11.0,-1
2026-09-07 10:30:00,SH000905,中证500,7726.474,0.96,163444082688.0,-2,-2,-1,-1,352222715818.09,1.02,1.02,1.02,1.0264,205,277,42.53,163444082688.0,159236669440.0,159933523046.4,,-0.25,-12.0,-5
2026-09-07 10:30:00,SZ399330,深证100,5882.156,1.13,122578529024.0,0,1,-1,-1,263869619252.83,1.18,1.18,1.18,1.1741,1781,1029,63.38,122578529024.0,104403620864.0,104070772121.6,,0.3,10.0,0
2026-09-07 10:30:00,SZ399005,中小100,8443.297,1.23,65287409152.0,0,-2,-1,-1,142843879934.13,1.14,1.14,1.14,1.162,0,0,0.0,65287409152.0,56184136320.0,57249244544.0,,0.2,-2.0,-3
