time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2026-01-15 14:00:00,SZ399005,中小100,8773.398,0.31,12603426816.0,0,-1,1,-1,178163132458.78,0.74,0.71,0.72,0.6309,0,0,0.0,152925642496.0,242382444544.0,206039790387.2,,-2
2026-01-15 14:00:00,SZ399850,深证50,9246.629,0.1,17311443456.0,0,-2,-1,-1,167332314419.36,0.78,1.02,0.79,0.6392,23,27,46.0,135632167680.0,212202336256.0,174370513305.6,,-3
2026-01-15 14:00:00,SZ399019,创业200,5068.34,-1.38,13980295168.0,-2,-1,1,-1,190048382169.5,0.8,0.76,0.77,0.6469,0,0,0.0,164512200704.0,254306437120.0,205272709324.8,,-4
2026-01-15 14:00:00,SH000698,科创100,1629.59,-0.34,6997411968.0,0,-1,1,-1,74891214123.63,0.82,0.9,0.81,0.7044,44,55,44.44,62837223872.0,89209442304.0,76796508876.8,,-2
2026-01-15 14:00:00,SH000905,中证500,8193.836,-0.41,43263094784.0,-1,-1,1,-1,569331270125.32,0.86,0.83,0.83,0.7102,223,261,46.07,491133015552.0,691513245696.0,572040679424.0,,-3
2026-01-15 14:00:00,SH000699,科创200,1501.98,-1.09,7906959872.0,-2,-1,1,-1,80847446908.35,0.79,0.95,0.78,0.7171,0,0,0.0,68205036096.0,95109564416.0,86386684416.0,,-4
2026-01-15 14:00:00,SH000852,中证1000,8212.433,-0.54,46827024384.0,-2,-1,1,-1,609398048489.47,0.83,0.8,0.79,0.7002,421,556,43.09,522044210176.0,745543925760.0,632386028339.2,,-4
2026-01-15 14:00:00,SH000688,科创50,1487.26,-0.91,11207709824.0,-2,-1,1,-1,93237803926.36,0.85,1.33,0.89,0.694,254,344,42.47,73737447552.0,106246183936.0,87219082547.2,,-4
2026-01-15 14:00:00,SZ399303,国证2000,10779.366,-0.93,65319432192.0,-2,-1,1,-1,898117937369.58,0.82,0.74,0.78,0.7035,0,0,0.0,770965000704.0,1095832043520.0,938359496704.0,,-4
2026-01-15 14:00:00,SZ399673,创业50,3491.07,-0.34,19827897088.0,0,-1,1,-1,217454923128.18,0.79,1.0,0.79,0.6781,0,0,0.0,181489536000.0,267624667136.0,229852651315.2,,-2
2026-01-15 14:00:00,SZ399330,深证100,5935.14,0.15,23355643904.0,0,-1,1,-1,252141184131.4,0.77,0.92,0.76,0.6609,1090,1757,38.29,210030903296.0,317810542592.0,272621940736.0,,-2
2026-01-15 13:30:00,SZ399673,创业50,3486.91,-0.46,20544413952.0,-2,-1,-1,-1,205732657485.17,0.77,0.67,0.75,0.6837,0,0,0.0,161661638912.0,236450822144.0,210035986432.0,,-4
2026-01-15 13:30:00,SZ399303,国证2000,10767.947,-1.04,81924790272.0,-2,-1,1,-1,907075001570.43,0.83,0.64,0.79,0.7284,0,0,0.0,705645568512.0,968777646080.0,850476148326.4,,-4
2026-01-15 13:30:00,SH000852,中证1000,8199.884,-0.69,56877227008.0,-2,-1,1,-1,607474443538.43,0.83,0.66,0.79,0.7209,389,585,39.94,475217185792.0,659207364608.0,574180582195.2,,-4
2026-01-15 13:30:00,SZ399005,中小100,8779.878,0.38,16854961920.0,0,-1,1,-1,178880036974.02,0.75,0.62,0.72,0.6556,0,0,0.0,140322215680.0,214040090624.0,188194284134.4,,-2
2026-01-15 13:30:00,SH000698,科创100,1625.27,-0.61,8303924736.0,-2,-1,1,-1,73223464706.06,0.81,0.81,0.79,0.7111,44,55,44.44,55839811904.0,78528118784.0,69005855436.8,,-4
2026-01-15 13:30:00,SH000699,科创200,1497.38,-1.39,7764288320.0,-2,-1,1,-1,77176355407.87,0.77,0.65,0.74,0.7228,0,0,0.0,60298076224.0,83421943808.0,78075107532.8,,-4
2026-01-15 13:30:00,SZ399330,深证100,5932.75,0.11,23450606080.0,0,-1,1,-1,241727591237.55,0.76,0.6,0.73,0.6688,1048,1800,36.8,186675259392.0,279129987072.0,247236823040.0,,-2
2026-01-15 13:30:00,SH000905,中证500,8198.657,-0.35,55430361600.0,-1,-1,1,-1,568850705927.7,0.86,0.76,0.83,0.7322,232,254,47.74,447869920768.0,611712057344.0,520090768179.2,,-3
2026-01-15 13:30:00,SZ399019,创业200,5061.43,-1.52,17666044416.0,-1,-1,1,-1,190172564332.44,0.81,0.67,0.77,0.6694,0,0,0.0,150531905536.0,224860973056.0,186942823833.6,,-3
2026-01-15 13:30:00,SZ399850,深证50,9235.178,-0.02,16517645568.0,0,-2,-1,-1,157352805840.69,0.75,0.64,0.74,0.6357,22,28,44.0,118320724224.0,186128734208.0,157409418444.8,,-3
2026-01-15 13:30:00,SH000688,科创50,1490.74,-0.68,9797661952.0,-2,-1,1,-1,83983353131.06,0.79,0.82,0.8,0.6686,231,365,38.76,62529737728.0,93522402304.0,78781396480.0,,-4
2026-01-15 11:30:00,SH000698,科创100,1608.82,-1.61,5420761792.0,-2,-1,1,-1,72806527351.66,0.81,0.72,0.79,0.7872,27,71,27.55,47535887168.0,60388462592.0,58736523366.4,,-4
2026-01-15 11:30:00,SZ399005,中小100,8752.329,0.06,13290123008.0,-1,-1,1,-1,185233294229.73,0.77,0.68,0.75,0.7497,0,0,0.0,123467253760.0,164686542848.0,161048648704.0,,-3
