time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-02-06 15:00:00,SH000001,上证指数,4065.58,-0.25,108122621952.0,-1,1,-1,1,917071426976.97,0.81,0.85,0.83,0.949,1065,1196,47.1,898655030272.0,946988892160.0,1110928439705.6,,-0.45,9.0,1
2026-02-06 15:00:00,SZ399001,深证成指,13906.745,-0.33,150201368576.0,-2,1,-1,1,1285643682321.53,0.88,0.92,0.91,1.0145,1544,1279,54.69,1247064358912.0,1229230571520.0,1413416537292.8,,-0.85,4.0,0
2026-02-06 15:00:00,SH000680,科创综指,1753.61,-0.34,24110839040.0,-1,1,-1,1,206591456198.33,0.77,0.85,0.8,0.947,277,313,46.95,200592161152.0,211822944256.0,259341521715.2,,-0.89,7.0,1
2026-02-06 15:00:00,SZ399006,创业板指,3236.46,-0.73,70420201472.0,-2,-2,-1,1,590581066660.58,0.85,0.91,0.89,1.0137,772,591,56.64,566546661376.0,558915715072.0,666871123148.8,,-1.07,-7.0,-3
2026-02-06 14:30:00,SH000680,科创综指,1764.64,0.28,16196830208.0,0,1,-1,1,204594526481.12,0.76,0.82,0.79,0.9402,353,239,59.63,176481322112.0,187711586304.0,230988383027.2,,-0.23,7.0,2
2026-02-06 14:30:00,SZ399006,创业板指,3259.33,-0.03,43043782656.0,-2,-2,-1,1,588247017729.56,0.84,0.92,0.88,1.0078,929,429,68.41,496126459904.0,492270551040.0,589448799846.4,,-0.67,-5.0,-3
2026-02-06 14:30:00,SH000001,上证指数,4081.18,0.13,72062747648.0,2,1,-1,1,912516620374.18,0.8,0.88,0.82,0.9413,1317,925,58.74,790532408320.0,839793721344.0,984359005388.8,,0.02,10.0,4
2026-02-06 14:30:00,SZ399001,深证成指,13984.704,0.23,94365155328.0,0,1,-1,1,1283099532554.4,0.88,0.95,0.91,1.0088,1875,947,66.44,1096862990336.0,1087259934720.0,1250548593459.2,,-0.42,6.0,2
2026-02-06 14:00:00,SZ399006,创业板指,3272.28,0.37,38797279232.0,0,-2,-1,1,583712294092.14,0.83,0.84,0.88,0.9955,1057,315,77.04,453082677248.0,455128317952.0,542824529920.0,,0.0,-5.0,-1
2026-02-06 14:00:00,SH000680,科创综指,1774.35,0.83,16497283584.0,1,1,-1,1,203349687176.89,0.76,0.78,0.78,0.9392,437,156,73.69,160284491904.0,170657538048.0,211184945152.0,,0.34,5.0,3
