time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-06-23 15:00:00,SZ399850,深证50,10525.938,-3.33,240871997440.0,1,2,1,-1,,,,,,9,41,18.0,240871997440.0,,,,-0.42,5.0,2
2026-06-23 15:00:00,SZ399673,创业50,4504.147,-4.08,284774531072.0,2,2,1,1,,,,,,0,0,0.0,284774531072.0,,,,0.57,27.0,5
2026-06-23 15:00:00,SZ399330,深证100,6813.497,-3.44,386174812160.0,1,2,1,1,,,,,,1441,1406,50.61,386174812160.0,,,,-0.37,15.0,4
2026-06-23 15:00:00,SZ399005,中小100,9468.589,-2.52,214738501632.0,1,2,1,1,,,,,,0,0,0.0,214738501632.0,,,,-0.24,24.0,4
2026-06-23 15:00:00,SH000905,中证500,8680.203,-2.13,597205057536.0,1,2,1,1,,,,,,150,344,30.36,597205057536.0,,,,0.62,41.0,4
2026-06-23 15:00:00,SZ399303,国证2000,11296.182,-1.35,813740720128.0,1,2,1,1,,,,,,0,0,0.0,813740720128.0,,,,0.37,32.0,4
2026-06-23 15:00:00,SH000852,中证1000,8676.683,-2.13,596928036864.0,1,2,1,1,,,,,,363,619,36.97,596928036864.0,,,,-0.32,32.0,4
2026-06-23 15:00:00,SZ399019,创业200,5118.57,-2.56,137118212096.0,1,2,1,1,,,,,,0,0,0.0,137118212096.0,,,,-0.15,45.0,4
2026-06-23 15:00:00,SH000698,科创100,2121.56,-1.95,94522712064.0,2,2,1,1,,,,,,31,67,31.63,94522712064.0,,,,0.66,58.0,5
2026-06-23 15:00:00,SH000699,科创200,1835.56,-2.06,84282843136.0,1,2,1,1,,,,,,0,0,0.0,84282843136.0,,,,-0.36,44.0,4
2026-06-23 15:00:00,SH000688,科创50,1907.682,-2.12,151897456640.0,1,2,1,1,,,,,,270,332,44.85,151897456640.0,,,,3.63,62.0,4
2026-06-22 15:00:00,SZ399005,中小100,9713.387,1.6,294494470144.0,1,2,1,1,,,,,,0,0,0.0,294494470144.0,,,,3.92,27.0,4
2026-06-22 15:00:00,SZ399303,国证2000,11451.226,1.01,1046023831552.0,1,2,1,1,,,,,,0,0,0.0,1046023831552.0,,,,2.15,33.0,4
2026-06-22 15:00:00,SZ399019,创业200,5253.29,1.32,192712704000.0,1,2,1,1,,,,,,0,0,0.0,192712704000.0,,,,3.29,51.0,4
2026-06-22 15:00:00,SH000699,科创200,1874.1,-0.55,119836139520.0,1,2,1,1,,,,,,0,0,0.0,119836139520.0,,,,3.73,51.0,4
2026-06-22 15:00:00,SZ399673,创业50,4695.61,2.62,393733603328.0,2,2,1,1,,,,,,0,0,0.0,393733603328.0,,,,6.3,34.0,5
2026-06-22 15:00:00,SH000688,科创50,1948.93,1.96,200856207360.0,1,2,-2,1,,,,,,250,353,41.46,200856207360.0,,,,10.83,60.0,4
2026-06-22 15:00:00,SZ399850,深证50,10888.07,2.05,332654673920.0,2,2,1,-1,,,,,,38,11,77.55,332654673920.0,,,,4.06,11.0,3
2026-06-22 15:00:00,SH000698,科创100,2163.76,0.31,143101706240.0,2,2,-2,1,,,,,,40,60,40.0,143101706240.0,,,,6.15,64.0,5
2026-06-22 15:00:00,SH000852,中证1000,8865.679,1.08,786540986368.0,1,2,1,1,,,,,,499,479,51.02,786540986368.0,,,,2.54,37.0,4
2026-06-22 15:00:00,SH000905,中证500,8868.784,2.26,759846010880.0,1,2,1,1,,,,,,311,183,62.96,759846010880.0,,,,4.24,43.0,4
2026-06-22 15:00:00,SZ399330,深证100,7056.28,2.0,530434162688.0,1,2,1,1,,,,,,1517,1333,53.23,530434162688.0,,,,4.46,21.0,4
