time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-08-31 11:30:00,SH000016,上证50,2901.413,-0.75,13842966912.0,0,-1,-1,1,116068250021.7,0.9,0.47,0.78,0.9352,18,32,36.0,86816150656.0,92831460608.0,96735218534.4,,-0.83,-5.0,0
2026-08-31 11:30:00,SH000300,沪深300,4562.651,-1.01,49428901376.0,-1,-2,-1,-1,415690657007.22,0.89,0.48,0.77,0.8496,86,210,29.05,312649840128.0,367993307136.0,350938966732.8,,-1.19,-9.0,-4
2026-08-31 11:30:00,SZ399903,中证100,4404.023,-1.44,25204187392.0,-1,-2,-1,-1,213604968149.98,0.89,0.47,0.77,0.8624,25,74,25.25,159641069824.0,185121675264.0,180113169766.4,,-1.6,-16.0,-4
2026-08-31 11:30:00,SH000906,中证800,5112.08,-1.15,84690738688.0,-1,-2,-1,1,688438319650.61,0.88,0.5,0.77,0.8252,0,0,0.0,518567642624.0,628401111040.0,587802997043.2,,-1.36,-9.0,-2
2026-08-31 10:30:00,SH000016,上证50,2905.663,-0.6,72973183744.0,0,2,-1,1,161402510547.35,1.08,1.08,1.08,1.0799,21,28,42.86,72973183744.0,67571755520.0,67513022054.4,,-0.78,3.0,3
2026-08-31 10:30:00,SH000300,沪深300,4578.295,-0.67,263220938752.0,-1,1,-1,1,573024203976.21,1.06,1.06,1.06,0.9788,101,195,34.12,263220938752.0,268911021056.0,247757704089.6,,-1.03,1.0,1
2026-08-31 10:30:00,SZ399903,中证100,4419.924,-1.08,134436882432.0,-1,-2,-1,-1,295936528159.76,1.06,1.06,1.06,0.9983,28,71,28.28,134436882432.0,134664624128.0,126608026214.4,,-1.49,-5.0,-4
2026-08-31 10:30:00,SH000906,中证800,5132.852,-0.75,433876903936.0,-1,1,-1,1,929535081516.8,1.04,1.04,1.04,0.9504,0,0,0.0,433876903936.0,456505423872.0,418190755020.8,,-1.13,3.0,1
