time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2025-12-31 15:00:00,SH000016,上证50,3031.13,-0.18,107667578880.0,0,2,1,1,,,,,,17,29,36.96,107667578880.0,,,,3
2025-12-31 15:00:00,SH000300,沪深300,4629.94,-0.46,444491530240.0,0,2,1,1,,,,,,109,172,38.79,444491530240.0,,,,3
2025-12-31 15:00:00,SZ399903,中证100,4486.47,-0.62,235063361536.0,0,2,1,1,,,,,,35,59,37.23,235063361536.0,,,,3
2025-12-31 15:00:00,SH000906,中证800,5109.17,-0.31,824861196288.0,2,2,1,1,,,,,,0,0,0.0,824861196288.0,,,,5
2025-12-30 15:00:00,SH000016,上证50,3036.55,0.06,113175134208.0,2,2,1,1,,,,,,18,31,36.73,113175134208.0,,,,5
2025-12-30 15:00:00,SH000300,沪深300,4651.28,0.26,457185492992.0,2,2,1,1,,,,,,120,174,40.82,457185492992.0,,,,5
2025-12-30 15:00:00,SZ399903,中证100,4514.37,0.37,250006667264.0,2,2,1,1,,,,,,44,54,44.9,250006667264.0,,,,5
2025-12-30 15:00:00,SH000906,中证800,5125.11,0.29,864808992768.0,2,2,1,1,,,,,,0,0,0.0,864808992768.0,,,,5
2025-12-29 15:00:00,SH000016,上证50,3034.63,-0.35,117119942656.0,2,2,1,1,,,,,,16,33,32.65,117119942656.0,,,,5
2025-12-29 15:00:00,SH000300,沪深300,4639.37,-0.38,482613526528.0,2,2,1,1,,,,,,101,192,34.47,482613526528.0,,,,5
2025-12-29 15:00:00,SZ399903,中证100,4497.92,-0.65,265271443456.0,2,2,1,1,,,,,,32,66,32.65,265271443456.0,,,,5
2025-12-29 15:00:00,SH000906,中证800,5110.28,-0.38,873059647488.0,2,2,1,1,,,,,,0,0,0.0,873059647488.0,,,,5
